序号,传输方向,时间戳,ID,帧格式,帧类型,长度,数据,
1245303,接收,18:42:13.102.0,0x000003c2,标准帧,数据帧,0x08,80 00 6C FC 00 12 05 32 ,
1245304,接收,18:42:13.118.0,0x000003c2,标准帧,数据帧,0x08,80 00 6C F8 00 12 05 32 ,
1245305,接收,18:42:13.118.0,0x000003c2,标准帧,数据帧,0x08,80 00 6C F6 00 12 05 32 ,
1245306,接收,18:42:13.133.0,0x000003c2,标准帧,数据帧,0x08,80 00 6C F8 00 12 05 32 ,
1245307,接收,18:42:13.149.0,0x000003c2,标准帧,数据帧,0x08,80 00 6C F9 00 12 05 32 ,
1245308,接收,18:42:13.149.0,0x000003c2,标准帧,数据帧,0x08,80 00 6C F2 00 12 05 32 ,
1245309,接收,18:42:13.165.0,0x000003c2,标准帧,数据帧,0x08,80 00 6C EF 00 12 05 32 ,
1245310,接收,18:42:13.165.0,0x000003c2,标准帧,数据帧,0x08,80 00 6C EF 00 12 05 32 ,
1245311,接收,18:42:13.181.0,0x000003c2,标准帧,数据帧,0x08,80 00 6C F3 00 12 05 32 ,
1245312,接收,18:42:13.196.0,0x000003c2,标准帧,数据帧,0x08,80 00 6C F5 00 12 05 32 ,
1245313,接收,18:42:13.196.0,0x000003c2,标准帧,数据帧,0x08,80 00 6C F5 00 12 05 32 ,
1245314,接收,18:42:13.212.0,0x000003c2,标准帧,数据帧,0x08,80 00 6C F1 00 12 05 32 ,
1245315,接收,18:42:13.228.0,0x000003c2,标准帧,数据帧,0x08,80 00 6C EE 00 12 05 32 ,
1245316,接收,18:42:13.228.0,0x000003c2,标准帧,数据帧,0x08,80 00 6C E7 00 12 05 32 ,
1245317,接收,18:42:13.244.0,0x000003c2,标准帧,数据帧,0x08,80 00 6C E0 00 12 05 32 ,
1245318,接收,18:42:13.244.0,0x000003c2,标准帧,数据帧,0x08,80 00 6C DD 00 12 05 32 ,
1245319,接收,18:42:13.259.0,0x000003c2,标准帧,数据帧,0x08,80 00 6C DB 00 12 05 32 ,
1245320,接收,18:42:13.275.0,0x000003c2,标准帧,数据帧,0x08,80 00 6C D9 00 12 05 32 ,
1245321,接收,18:42:13.275.0,0x000003c2,标准帧,数据帧,0x08,80 00 6C D2 00 12 05 32 ,
1245322,接收,18:42:13.291.0,0x000003c2,标准帧,数据帧,0x08,80 00 6C CC 00 12 05 32 ,
1245323,接收,18:42:13.306.0,0x000003c2,标准帧,数据帧,0x08,80 00 6C C7 00 12 05 32 ,
1245324,接收,18:42:13.306.0,0x000003c2,标准帧,数据帧,0x08,80 00 6C C7 00 12 05 32 ,
1245325,接收,18:42:13.322.0,0x000003c2,标准帧,数据帧,0x08,80 00 6C CA 00 12 05 32 ,
1245326,接收,18:42:13.337.0,0x000003c2,标准帧,数据帧,0x08,80 00 6C D5 00 12 05 32 ,
1245327,接收,18:42:13.337.0,0x000003c2,标准帧,数据帧,0x08,80 00 6C E3 00 12 05 32 ,
1245328,接收,18:42:13.353.0,0x000003c2,标准帧,数据帧,0x08,80 00 6C EC 00 12 05 32 ,
1245329,接收,18:42:13.368.0,0x000003c2,标准帧,数据帧,0x08,80 00 6C ED 00 12 05 32 ,
1245330,接收,18:42:13.368.0,0x000003c2,标准帧,数据帧,0x08,80 00 6C E8 00 12 05 32 ,
1245331,接收,18:42:13.384.0,0x000003c2,标准帧,数据帧,0x08,80 00 6C E5 00 12 05 32 ,
1245332,接收,18:42:13.384.0,0x000003c2,标准帧,数据帧,0x08,80 00 6C E1 00 12 05 32 ,
1245333,接收,18:42:13.399.0,0x000003c2,标准帧,数据帧,0x08,80 00 6C E0 00 12 05 32 ,
1245334,接收,18:42:13.414.0,0x000003c2,标准帧,数据帧,0x08,80 00 6C E2 00 12 05 32 ,
1245335,接收,18:42:13.414.0,0x000003c2,标准帧,数据帧,0x08,80 00 6C E8 00 12 05 32 ,
1245336,接收,18:42:13.430.0,0x000003c2,标准帧,数据帧,0x08,80 00 6C EC 00 12 05 32 ,
1245337,接收,18:42:13.446.0,0x000003c2,标准帧,数据帧,0x08,80 00 6C E7 00 12 05 32 ,
1245338,接收,18:42:13.446.0,0x000003c2,标准帧,数据帧,0x08,80 00 6C E2 00 12 05 32 ,
1245339,接收,18:42:13.462.0,0x000003c2,标准帧,数据帧,0x08,80 00 6C DC 00 12 05 32 ,
1245340,接收,18:42:13.477.0,0x000003c2,标准帧,数据帧,0x08,80 00 6C DB 00 12 05 32 ,
1245341,接收,18:42:13.477.0,0x000003c2,标准帧,数据帧,0x08,80 00 6C DC 00 12 05 32 ,
1245342,接收,18:42:13.494.0,0x000003c2,标准帧,数据帧,0x08,80 00 6C E0 00 12 05 32 ,
1245343,接收,18:42:13.494.0,0x000003c2,标准帧,数据帧,0x08,80 00 6C E5 00 12 05 32 ,
1245344,接收,18:42:13.509.0,0x000003c2,标准帧,数据帧,0x08,80 00 6C EA 00 12 05 32 ,
1245345,接收,18:42:13.524.0,0x000003c2,标准帧,数据帧,0x08,80 00 6C EF 00 12 05 32 ,
